index,latitude,longitude,open_datetime,closed_datetime
8975,43.188618,-70.88685,1632477600.0,1632517200.0
8976,42.413366,-71.0828,1632484800.0,1632535200.0
8977,42.267523,-71.120843,1632474000.0,1632528000.0
8978,42.38962,-71.08866,1632474000.0,1632528000.0
8979,42.257899,-71.123308,1632472200.0,1632538800.0
8980,42.36655,-71.09409,1632477600.0,1632513600.0
8981,41.717495,-71.268927,1632474000.0,1632517200.0
8982,42.390604,-71.086608,1632477600.0,1632531600.0
8985,42.391224,-71.085983,1632477600.0,1632524400.0
8986,42.323175,-71.103728,1632474000.0,1632528000.0
8989,42.3487,-71.095787,1632474000.0,1632538800.0
8990,41.713727,-71.267232,1632472200.0,1632531600.0
8991,42.283892,-71.112518,1632472200.0,1632524400.0
8992,41.96167,-71.198881,1632474000.0,1632517200.0
8994,42.393243,-71.083429,1632474000.0,1632531600.0
8995,42.156997,-71.14525,1632474000.0,1632524400.0
8996,42.427437,-71.073757,1632474000.0,1632524400.0
8997,42.452117,-71.067183,1632474000.0,1632531600.0
8998,42.42119,-71.075122,1632474000.0,1632517200.0
8999,42.139105,-71.148928,1632474000.0,1632524400.0
9000,42.138457,-71.148729,1632470400.0,1632524400.0
9001,42.463891,-71.062697,1632470400.0,1632531600.0
9002,42.331815,-71.096945,1632474000.0,1632531600.0
9003,42.37425,-71.085666,1632474000.0,1632524400.0
9005,42.402228,-71.077144,1632477600.0,1632542400.0
9006,42.996014,-70.925397,1632472200.0,1632524400.0
9007,42.423575,-71.071181,1632483000.0,1632520800.0
9008,42.316836,-71.098107,1632481200.0,1632520800.0
9009,41.50962,-71.318311,1632474000.0,1632538800.0
9010,43.180955,-70.877971,1632477600.0,1632513600.0
9011,42.382444,-71.079075,1632474000.0,1632538800.0
9012,42.362783,-71.084015,1632474000.0,1632538800.0
9013,42.426818,-71.067202,1632474000.0,1632506400.0
9014,42.337932,-71.089949,1632479400.0,1632524400.0
9015,42.339988,-71.089362,1632484800.0,1632506400.0
9016,42.346557,-71.087313,1632481200.0,1632524400.0
9017,43.002728,-70.918895,1632474000.0,1632524400.0
9020,42.335213,-71.088276,1632481200.0,1632524400.0
9021,42.341812,-71.086396,1632481200.0,1632524400.0
9022,42.722108,-70.98744,1632474000.0,1632531600.0
9023,42.349243,-71.08345,1632477600.0,1632531600.0
9024,42.512014,-71.040674,1632470400.0,1632524400.0
9025,42.208798,-71.120263,1632470400.0,1632524400.0
9026,42.348794,-71.081867,1632477600.0,1632535200.0
9027,42.328358,-71.086926,1632481200.0,1632524400.0
9029,42.368402,-71.076064,1632475800.0,1632524400.0
9030,42.349561,-71.079929,1632474000.0,1632524400.0
9031,41.681569,-71.260639,1632474000.0,1632517200.0
9032,42.412422,-71.063137,1632474000.0,1632535200.0
9033,42.340866,-71.081707,1632477600.0,1632528000.0
9034,42.329454,-71.084634,1632481200.0,1632524400.0
9035,42.593951,-71.015636,1632474000.0,1632517200.0
9036,41.677342,-71.260177,1632470400.0,1632531600.0
9037,43.204797,-70.859518,1632474000.0,1632524400.0
9038,42.3484,-71.076741,1632474000.0,1632524400.0
9039,41.493817,-71.309097,1632474000.0,1632524400.0
9040,42.347348,-71.075886,1632474000.0,1632524400.0
9041,42.336986,-71.077304,1632481200.0,1632524400.0
9042,42.403814,-71.059057,1632474000.0,1632535200.0
9043,42.360803,-71.070314,1632477600.0,1632524400.0
9044,41.52475,-71.297533,1632474000.0,1632538800.0
9045,42.375847,-71.065736,1632474000.0,1632524400.0
9046,42.268575,-71.093986,1632474000.0,1632528000.0
9048,41.483379,-71.307846,1632474000.0,1632524400.0
9049,42.3092,-71.0819,1632474000.0,1632538800.0
9050,43.458208,-70.792403,1632474000.0,1632531600.0
9051,42.334752,-71.074127,1632477600.0,1632524400.0
9052,42.409317,-71.053586,1632470400.0,1632528000.0
9053,41.518086,-71.295886,1632474000.0,1632531600.0
9054,44.546993,-70.545599,1632474000.0,1632531600.0
9055,42.472831,-71.036857,1632475800.0,1632526200.0
9056,42.332024,-71.073405,1632474000.0,1632524400.0
9057,42.433214,-71.046825,1632472200.0,1632524400.0
9058,42.364446,-71.062972,1632479400.0,1632524400.0
9060,42.351295,-71.066072,1632477600.0,1632510000.0
9061,42.36666,-71.06178,1632479400.0,1632524400.0
9062,42.361055,-71.063072,1632477600.0,1632510000.0
9063,42.280653,-71.08405,1632474000.0,1632535200.0
9064,42.361047,-71.062572,1632479400.0,1632519000.0
9065,42.365169,-71.061017,1632475800.0,1632528000.0
